id;name;course;';'
1;Apresentação 1;22116;;
2;Apresentação 2;22116;;
3;Entrega;22119;;
4;Teste 1;22119;;
5;Apresentação;22119;;
6;Teste 2;22119;;
7;Apresentação;22120;;
8;Entrega;22120;;
9;Actividade Forum;22121;;
10;Entrega 1;22121;;
11;Entrega 2;22121;;
12;Actividade Forum;22122;;
13;Teste;22122;;
14;Teste;22124;;
15;Apresentação 1;22126;;
16;Apresentação 2;22126;;
17;Teste;22126;;
18;Apresentação 3;22126;;
19;Apresentação 1;22129;;
20;Actividade Forum;22129;;
21;Apresentação;22130;;
22;Actividade Forum;22130;;
