student,forum,datecreated,type
1,0,1613505593,0
12,0,1613505593,1
15,0,1613505593,1
20,0,1613505593,0
23,0,1613505593,1
25,0,1613505593,1
2,1,1608212651,1
8,1,1608212651,0
10,1,1608212651,0
18,1,1608212651,1
21,1,1608212651,0
21,1,1608212651,0
24,1,1608212651,0
26,1,1608212651,1
3,2,1611882070,1
12,2,1611882070,0
18,2,1611882070,0
21,2,1611882070,1
21,2,1611882070,0
24,2,1611882070,0
9,3,1609962083,1
11,3,1609962083,1
24,3,1609962083,1
4,4,1616598776,0
9,4,1616598776,0
10,4,1616598776,1
11,4,1616598776,0
20,4,1616598776,0
24,4,1616598776,1
2,5,1606744081,1
3,5,1606744081,1
4,5,1606744081,1
8,5,1606744081,0
11,5,1606744081,1
15,5,1606744081,0
19,5,1606744081,1
23,5,1606744081,0
1,6,1615242231,0
2,6,1615242231,1
3,6,1615242231,0
4,6,1615242231,0
8,6,1615242231,1
11,6,1615242231,1
15,6,1615242231,1
19,6,1615242231,0
27,6,1615242231,0
1,7,1616368231,0
3,7,1616368231,1
4,7,1616368231,1
8,7,1616368231,1
11,7,1616368231,1
15,7,1616368231,0
19,7,1616368231,0
27,7,1616368231,1
1,8,1612973256,1
4,8,1612973256,0
9,8,1612973256,0
24,8,1612973256,0
25,8,1612973256,0
2,9,1616448849,0
4,9,1616448849,1
9,9,1616448849,1
24,9,1616448849,1
25,9,1616448849,1
27,9,1616448849,0
30,9,1616448849,0
1,10,1610960698,1
11,10,1610960698,0
12,10,1610960698,0
26,10,1610960698,0
30,10,1610960698,1
1,11,1614017967,0
3,11,1614017967,0
11,11,1614017967,1
12,11,1614017967,0
26,11,1614017967,0
30,11,1614017967,1
4,12,1613338693,1
9,12,1613338693,0
11,12,1613338693,0
18,12,1613338693,0
24,12,1613338693,0
2,13,1607505248,1
4,13,1607505248,1
25,13,1607505248,0
27,13,1607505248,0
30,13,1607505248,0
1,14,1611009620,0
4,14,1611009620,1
24,14,1611009620,1
3,15,1605907831,1
4,15,1605907831,0
9,15,1605907831,0
19,15,1605907831,1
21,15,1605907831,0
26,15,1605907831,1
4,16,1610653114,0
9,16,1610653114,0
21,16,1610653114,1
2,17,1611609919,0
10,17,1611609919,1
18,17,1611609919,0
21,17,1611609919,1
1,18,1606585978,1
3,18,1606585978,1
12,18,1606585978,1
15,18,1606585978,0
25,18,1606585978,0
27,18,1606585978,1
1,19,1610692961,0
2,19,1610692961,1
3,19,1610692961,0
12,19,1610692961,1
15,19,1610692961,0
20,19,1610692961,1
23,19,1610692961,0
1,20,1616205934,1
2,20,1616205934,0
3,20,1616205934,1
20,20,1616205934,0
23,20,1616205934,1
2,21,1611017953,1
